,Year,SP.DYN.IMRT.IN,NY.GDP.PCAP.PP.CD,SL.UEM.TOTL.ZS,Country Code,Country Name,Region,Income Group,Lending Type
0,2012,3.6,42826.789579996,5.2199997902,AUS,Australia,East Asia & Pacific,High income,Not classified
1,2013,3.5,45902.047948361,5.6599998474,AUS,Australia,East Asia & Pacific,High income,Not classified
2,2014,3.3,46880.2206571585,6.0799999237,AUS,Australia,East Asia & Pacific,High income,Not classified
3,2015,3.3,46288.3344786414,6.0500001907,AUS,Australia,East Asia & Pacific,High income,Not classified
4,2016,3.2,47339.969213264,5.7100000381000005,AUS,Australia,East Asia & Pacific,High income,Not classified
5,2017,3.1,48633.1332207217,5.5900001526,AUS,Australia,East Asia & Pacific,High income,Not classified
6,2018,3.1,51390.5028543034,5.3000001907,AUS,Australia,East Asia & Pacific,High income,Not classified
7,2012,4.9,32996.3454112092,6.9299998283,NZL,New Zealand,East Asia & Pacific,High income,Not classified
8,2013,4.8,36231.1004613438,5.7699999809,NZL,New Zealand,East Asia & Pacific,High income,Not classified
9,2014,4.7,37276.9439703148,5.3699998856,NZL,New Zealand,East Asia & Pacific,High income,Not classified
10,2015,4.5,37465.390514082,5.3499999046,NZL,New Zealand,East Asia & Pacific,High income,Not classified
11,2016,4.4,39980.8441523909,5.0799999237,NZL,New Zealand,East Asia & Pacific,High income,Not classified
12,2017,4.2,42274.4068831256,4.6999998093,NZL,New Zealand,East Asia & Pacific,High income,Not classified
13,2018,4.1,44660.519298475,4.3000001907,NZL,New Zealand,East Asia & Pacific,High income,Not classified
14,2012,6.0,51610.6052783379,8.0699996948,USA,United States,North America,High income,Not classified
15,2013,6.0,53117.6678498178,7.3800001144,USA,United States,North America,High income,Not classified
16,2014,5.9,55064.7445483427,6.1700000763,USA,United States,North America,High income,Not classified
17,2015,5.8,56839.3817742317,5.2800002098,USA,United States,North America,High income,Not classified
18,2016,5.8,57951.5840820997,4.8699998856,USA,United States,North America,High income,Not classified
19,2017,5.7,60062.2223132215,4.3600001335,USA,United States,North America,High income,Not classified
20,2018,5.6,62996.4712852608,3.9000000954000003,USA,United States,North America,High income,Not classified
